"Hope College Schedule of Classes"
""
"HOPE COURSE SCHEDULE"
"These are the search criteria you submitted :"
"Term: Fall 2010"
"Subj:   MUS "
"Crse Numb: %"
"Days: Any"
"Time: 0000-2359"
"Status: ANY"
"Attribute: ANY"
""
"FALL 2010 (201008)"
"Status","Title","Subject","Course Number","Section Number","CRN","Cred","Attr","Meeting Days/Times","","","","","","","","Location","Capacity","Actual","Remainder","WaitList","Instructor","Date","Weeks"
"CLOSED","Jazz Piano","MUS","179J","05","80793",2,FA2,"TBA","","","","","","","","TBA",10,10,0,0,"Talaga, Stephen C.",08/31-12/10,16
"COMPLETED","Jazz Piano","MUS","179J","06","80794",3,"","TBA","","","","","","","","TBA",5,2,3,0,"Talaga, Stephen C.",08/31-12/10,16
"COMPLETED","Guitar","MUS","180","01","80083",2,FA2,"TBA","","","","","","","","TBA",20,18,2,0,"Martin, David J.",08/31-12/10,16
"PERMISSION","Guitar","MUS","180","02","80084",3,"","TBA","","","","","","","","TBA",5,1,4,0,"Martin, David J.",08/31-12/10,16
"COMPLETED","Guitar","MUS","180","03","81425",2,"","TBA","","","","","","","","TBA",20,4,16,0,"Hyde, Michael R.",08/31-12/10,16
"COMPLETED","Jazz Guitar","MUS","180","04","80085",2,FA2,"TBA","","","","","","","","TBA",30,11,19,0,"Hyde, Michael R.",08/31-12/10,16
"COMPLETED","Jazz Guitar","MUS","180","05","80665",3,"","TBA","","","","","","","","TBA",5,3,2,0,"Hyde, Michael R.",08/31-12/10,16
"PERMISSION","Voice","MUS","181","01","80088",2,FA2,"TBA","","","","","","","","TBA",20,14,6,0,"Kim, JungWoo",08/31-12/10,16
"COMPLETED","Voice","MUS","181","011","80831",2,"","TBA","","","","","","","","TBA",10,3,7,0,"Kim, JungWoo",08/31-12/10,16
"PERMISSION","Voice","MUS","181","02","80089",3,"","TBA","","","","","","","","TBA",20,1,19,0,"Kim, JungWoo",08/31-12/10,16
"PERMISSION","Voice","MUS","181","03","80090",2,FA2,"TBA","","","","","","","","TBA",20,11,9,0,"Dykstra, Linda L.",08/31-12/10,16
"COMPLETED","Voice","MUS","181","031","80832",2,"","TBA","","","","","","","","TBA",10,5,5,0,"Dykstra, Linda L.",08/31-12/10,16
"PERMISSION","Voice","MUS","181","04","80091",3,"","TBA","","","","","","","","TBA",20,6,14,0,"Dykstra, Linda L.",08/31-12/10,16
"PERMISSION","Voice","MUS","181","05","80092",2,FA2,"TBA","","","","","","","","TBA",20,5,15,0,"Richmond, Brad W.",08/31-12/10,16
"COMPLETED","Voice","MUS","181","051","80833",2,"","TBA","","","","","","","","TBA",10,2,8,0,"Richmond, Brad W.",08/31-12/10,16
"PERMISSION","Voice","MUS","181","06","80093",3,"","TBA","","","","","","","","TBA",10,0,10,0,"Richmond, Brad W.",08/31-12/10,16
"PERMISSION","Voice","MUS","181","07","80094",2,FA2,"TBA","","","","","","","","TBA",20,8,12,0,"Pilon, Sherri L.",08/31-12/10,16
"COMPLETED","Voice","MUS","181","071","81498",2,"","TBA","","","","","","","","TBA",10,0,10,0,"Pilon, Sherri L.",08/31-12/10,16
"PERMISSION","Voice","MUS","181","08","81246",3,FA2,"TBA","","","","","","","","TBA",20,1,19,0,"Pilon, Sherri L.",08/31-12/10,16
"PERMISSION","Voice","MUS","181","09","81441",2,FA2,"TBA","","","","","","","","TBA",20,6,14,0,"Sharp, Stuart W.",08/31-12/10,16
